\xEF\xBB\xBF英文單字,中文解釋
shore,岸、濱
shorts,短褲
shot,開槍、射擊
shout,呼喊、呼叫
shower,陣雨、淋浴
shrimp,小蝦
shut,關閉
sight,視力、視覺、風景
sign,標記、招牌、徵兆、簽名
silence,寂靜、沈默
silent,寂靜的、沈默的
silly,傻的、糊塗的
silver,銀色的、銀色
similar,相似的、類似的
simply,簡單地、僅僅
sincere,真誠的、誠摯的
Singapore,新加坡
singing,歌唱、歌聲
single,單一的、單身的
sink,沉、沉沒
sixteenth,第十六
skate,溜冰鞋、輪式溜冰鞋
skating,滑冰、溜冰
ski,滑雪板、滑雪
skiing,滑雪
skill,技能、技巧
skillful,靈巧的、熟練的
skin,皮膚
skinny,骨瘦如材的
sleepy,困乏的、欲睡的
slender,細長的、苗條的
slide,滑行、滑動
slim,苗條的、纖細的
slippers,拖鞋
snail,蝸牛
sneakers,膠底運動鞋
sneaky,鬼祟的、卑劣的
snowman,雪人
snowy,下雪的
soap,肥皂
soccer,足球
social,社交的、社會的
social science,社會科學
society,社會、協會
soda,汽水
soft,軟的、溫柔的
soft drink,碳酸飲料
softball,壘球
soldier,士兵、軍人
solve,解釋、解決
sore throat,喉嚨痛
sort,種類、分類
soul,靈魂、心靈
sour,酸的
southern,南方的、南部的
soy-sauce,醬油
spaghetti,義大利麵條
speaker,說話者、演講者、揚聲器
speech,說話、演說
speed,速度、迅速
spider,蜘蛛
spirit,精神、氣概、烈灑
sport,體育運動
spread,推開、塗敷、傳播
stage,階段、時期、舞臺
stairs,樓梯
stamp,郵票、印章
stamp collecting,集郵
standard,標準、規格
state,狀態、國家、州
stationery,文具
stationery store,文具店
steal,偷、竊取
steam,蒸汽
step,步、腳步、步驟
stick,棒、手杖、刺、黏貼
stingy,吝嗇的、小氣的
stomachache,肚子痛、胃痛
stone,石頭
storm,暴風雨、暴風雪
stormy,暴風雨的
stove,爐、火爐
straight,直的、筆直的
straw,稻草、吸管
strawberry,草莓
stream,小河、溪、流動
strike,打、襲擊、罷工
struggle,鬥爭、奮鬥、掙扎
style,作風、風格、樣式
subject,主題、題目、學科、主語
submarine,潛艇
subway,地鐵
succeed,成功、繼承
success,成就、成功
successfully,成功地
such,這樣的
sudden,突然的
suddenly,突然地
suggest,建議、提議、暗示
suit,合適、適合、一套衣服
suitcase,衣箱、小提箱
supper,晚餐
support,支援、擁護、供養
surf,海浪、衝浪
surface,表面、外表
surfing,衝浪、上網
survive,活下來、倖存
swallow,吞咽、燕子
swan,天鵝
sweep,打掃、掃視
swimming,游泳
swimsuit,游泳衣
swing,搖擺、盪鞦韆
symbol,象徵、符號
table cloth,桌布
table tennis,乒乓球、桌球
tableware,餐具
Taichung,台中
tail,尾巴
Tainan,台南
Taipei,台北
Taiwanese,台灣的、台灣人
talkative,多嘴的、饒舌的
tangerine,椪柑、橘
tank,槽、戰車、坦克車
tape recorder,錄音機
task,任務、工作
Teacher's Day,教師節
teapot,茶壺
tear,眼淚、撕裂
temperature,溫度
temple,神殿、寺廟
tent,帳蓬
term,學期、術語
terrible,可怕的
terrific,令人恐怖的
textbook,教科書、課本
thanksgiving,感謝
Thanksgiving Day,感恩節
therefore,因此、所以
thick,厚的、粗的、濃的
thief,小偷、賊
thirteenth,第十三
thirtieth,第三十
thought,思想
throat,咽喉、喉嚨
through,穿過、通過
throughout,遍及、貫穿
throw,扔
thumb,拇指
thunder,雷、打雷
thus,如此、因此
tidy,整潔的、整齊的
tie,拴、繫、領帶
till,直到為止
tiny,極小的、微小的
tip,頂、尖端、小費
title,標題、頭銜
toast,烤麵包片、土司
toe,腳趾
tofu,豆腐
toilet,浴室、廁所
Tokyo,東京
tongue,舌頭、語言
tool,工具
toothache,牙痛
toothbrush,牙刷
top,頂端、上部、最高的
topic,題目、話題、主題
total,總計
tour,旅行、遊歷
toward,朝、向
tower,塔
trace,追蹤、痕跡
track,跑道、軌道、跟蹤
trade,貿易、商業
tradition,傳統
traditional,傳統的
traffic jam,交通阻塞
traffic light,交通燈號誌
traffic lights,紅綠燈
traffic sign,交通號誌
train station,火車站
transportation,運輸
trap,陷阱、圈套
trash can,垃圾桶
travel,旅行
traveling,旅行的
treasure,財寶、寶藏
treat,對待、款待
triangle,三角板
trick,欺詐、詭計
trousers,褲子、長褲
trumpet,喇叭
trust,信任、信賴
truth,真相、真理
T-shirt,T恤
tub,桶、盆、浴盆
tummy,肚子
tunnel,隧道
turkey,火雞
turtle,海龜
twelfth,第十二
twentieth,第二十
twice,兩倍、兩次
type,類型、種類、打字
typewriter,打字機
ugly,醜陋的
uh-uh,嗯嗯
underlie,位於…的下面
underpass,地道、地下道
underwear,內衣
under-weight,重量不足
unfriendly,不友善地
unique,唯一的、獨特的
unit,個體、計量單位
universe,宇宙
university,大學
upon,在…上、憑靠
upstairs,在樓上、樓上的
used,用過的、習慣於…的
usual,通常的、平常的
Valentine's Day,西洋情人節
valley,山谷
valuable,貴重的、有價值的
value,價值、重視
VCR,錄影機
verb,動詞
vest,背心
victory,勝利
village,村莊、鄉村
vinegar,醋
violin,小提琴
visitor,參觀者、訪問者
vocabulary,字彙、生字
volleyball,排球
vote,投票
voter,投票者
waist,腰、腰部
walkman,隨身聽
wallet,錢包、皮夾
